Average	SD	Min	Max
-8.795129203796387	0.5629216978970469	-9.489392280578613	-8.590778350830078
-3.8151450634002684	1.4651636676156754	-7.400487422943115	-2.720884084701538
-3.2418190240859985	0.9178617098295659	-5.41859769821167	-2.8802356719970703
-2.8909510374069214	0.09579793465664685	-2.975947380065918	-3.0457708835601807
-2.8223021984100343	0.08648293867669682	-2.63759446144104	-2.8588693141937256
-2.884771966934204	0.09465855764362378	-2.8231418132781982	-2.8695576190948486
-2.8454535245895385	0.0669519729865513	-2.8620071411132812	-2.797400951385498
-2.870553708076477	0.09253213909627331	-2.8830807209014893	-2.9244296550750732
-2.886222743988037	0.09255365579428855	-2.836347818374634	-3.0866804122924805
-2.9025490045547486	0.1072564244807214	-2.8983471393585205	-2.7743899822235107
-2.8766952991485595	0.09977527169313699	-2.806385040283203	-2.6636078357696533
-2.8907297372817995	0.09591306313015927	-2.838895082473755	-2.910292387008667
-2.8400986433029174	0.1177382053848856	-2.800159215927124	-2.7683141231536865
-2.8155749320983885	0.059261968877324184	-2.8723092079162598	-2.7151591777801514
-2.899432158470154	0.08148673989885603	-2.8070554733276367	-2.994558095932007
-2.815672731399536	0.10932684719772358	-2.7526748180389404	-2.7247114181518555
-2.848292350769043	0.1031053735701711	-2.7671029567718506	-2.92490291595459
-2.9102256298065186	0.1292184370501219	-2.927152395248413	-2.9682204723358154
-2.841706967353821	0.1105135933031144	-2.633087158203125	-2.898020029067993
-2.882014751434326	0.08861694190062154	-2.9488868713378906	-2.7217233180999756
-2.8649356842041014	0.06415908460557887	-2.84383225440979	-2.8477377891540527
-2.850539493560791	0.08098515091595235	-2.77886962890625	-2.843973159790039
-2.8848315477371216	0.1139447396382457	-2.9406590461730957	-2.8480372428894043
-2.8647185564041138	0.12190325887361228	-2.949289083480835	-2.8749616146087646
-2.840164852142334	0.0702921220470903	-2.8793039321899414	-2.941587448120117
-2.8248202085494993	0.08764353246185831	-3.0071442127227783	-2.8116343021392822
-2.8638798236846923	0.08441022558023817	-2.8627045154571533	-2.7923190593719482
-2.8445165395736693	0.11006010891061141	-2.8744382858276367	-2.721421003341675
-2.8703941822052004	0.09920004590997974	-2.926985502243042	-2.7008156776428223
-2.8646729946136475	0.07386707634391344	-2.8790316581726074	-2.8747870922088623
-2.855277442932129	0.08145360504115222	-2.7557992935180664	-2.7144737243652344
-2.8657739639282225	0.05744475825032902	-2.903395891189575	-2.833994150161743
-2.8489232063293457	0.07867024979701161	-2.7519164085388184	-2.849468946456909
-2.8136332988739015	0.10146582891458295	-2.901811361312866	-2.7901008129119873
-2.87439501285553	0.07371825417861719	-2.8299672603607178	-2.7623727321624756
-2.7990006685256956	0.07892107824228795	-2.737577199935913	-2.8191683292388916
-2.855051851272583	0.07993961589031462	-2.8010497093200684	-2.9384965896606445
-2.859605312347412	0.07803174073814842	-2.9771721363067627	-2.7335243225097656
-2.849034833908081	0.11991972849947113	-2.8612120151519775	-2.8832905292510986
-2.8844242334365844	0.12106551000428344	-2.8066606521606445	-2.927130699157715
-2.872745156288147	0.09091179027538202	-3.0139284133911133	-2.791778326034546
-2.868119645118713	0.07920285397383414	-2.814657688140869	-2.9042882919311523
-2.855796241760254	0.04486055313826957	-2.8685874938964844	-2.8587958812713623
-2.892727088928223	0.10339695138088019	-3.023137092590332	-2.8954601287841797
-2.863047647476196	0.10734572198999644	-2.9982752799987793	-2.8315956592559814
-2.843518352508545	0.06946551700442698	-2.7706761360168457	-2.740861177444458
-2.8490708827972413	0.07334508650545112	-2.927351713180542	-2.703618049621582
-2.834634017944336	0.09416628095663296	-2.803244113922119	-2.833771228790283
-2.855021858215332	0.1087872906886172	-2.6250159740448	-2.7714853286743164
-2.878543472290039	0.06469856032313866	-2.9271905422210693	-2.844348907470703
