0:0.0021673045895021347,1:0.36091384577357816,2:0.6000219320589981,3:0.3561065706080592,4:0.9236976216398727,5:0.3722919130274444,6:2.663497653234552E-4,7:9.004915501504839E-4,8:0.599141039210514,9:0.2272478217492688,10:0.2572889194242326,11:0.21716407374156316,12:0.16135868484991528,13:0.536054212618865,14:0.55323052908291,15:0.9344549045928187,16:0.02390764807273557,17:0.008335577351145354,18:0.9360733126251634,19:0.5962585703160517,20:0.1273277106024527,21:4.3274903562132415E-4,22:0.09548298227526282,23:0.9354391708403363,24:0.325063491411983,25:0.9355533207397607,26:0.007530622345704787,27:0.5100522145152276,28:0.056750281627511785,29:0.2939996862878106,
0:0.01052187336862484,1:0.01052187336862484,2:0.01052187336862484,3:0.01052187336862484,4:0.01052187336862484,5:0.01052187336862484,6:0.01052187336862484,7:0.15585059309180818,8:0.01052187336862484,9:0.01052187336862484,10:0.01052187336862484,11:0.01052187336862484,12:0.01052187336862484,13:0.2855544998936905,14:0.01052187336862484,15:0.01052187336862484,16:0.01052187336862484,17:0.01052187336862484,18:0.01052187336862484,19:0.01052187336862484,20:0.01052187336862484,21:0.01052187336862484,22:0.01052187336862484,23:0.01052187336862484,24:0.01052187336862484,25:0.01052187336862484,26:0.21137308584988168,27:0.01052187336862484,28:0.01052187336862484,29:0.01052187336862484,30:0.01052187336862484,31:0.01052187336862484,32:0.01052187336862484,33:0.01052187336862484,34:0.01052187336862484,35:0.01052187336862484,
0:0.24137479026120817,1:0.0016082880556482742,2:0.06566785486692149,3:0.0016082880556482742,4:0.0016082880556482742,5:0.0016082880556482742,6:0.0016082880556482742,7:0.0016082880556482742,8:0.0016082880556482742,9:0.0016082880556482742,10:0.0016082880556482742,11:0.08277702547075429,12:0.0016082880556482742,13:0.32340759601412583,14:0.0016082880556482742,15:0.13273689879456155,16:0.0016082880556482742,17:0.0016082880556482742,18:0.0016082880556482742,19:0.0016082880556482742,20:0.0016082880556482742,21:0.0016082880556482742,22:0.10578719292298132,23:0.0016082880556482742,24:0.0016082880556482742,25:0.0016082880556482742,26:0.0016082880556482742,27:0.0016082880556482742,28:0.0016082880556482742,29:0.0016082880556482742,30:0.0016082880556482742,31:0.0016082880556482742,32:0.0016082880556482742,33:0.0016082880556482742,34:0.0016082880556482742,35:0.0016082880556482742,
0:0.003387720467072526,1:0.003387720467072526,2:0.003387720467072526,3:0.003387720467072526,4:0.003387720467072526,5:0.003387720467072526,6:0.003387720467072526,7:0.003387720467072526,8:0.003387720467072526,9:0.003387720467072526,10:0.003387720467072526,11:0.003387720467072526,12:0.003387720467072526,13:0.003387720467072526,14:0.003387720467072526,15:0.003387720467072526,16:0.003387720467072526,17:0.003387720467072526,18:0.003387720467072526,19:0.003387720467072526,20:0.003387720467072526,21:0.8428956979315193,22:0.003387720467072526,23:0.003387720467072526,24:0.04192180618801557,25:0.003387720467072526,26:0.003387720467072526,27:0.003387720467072526,28:0.003387720467072526,29:0.003387720467072526,30:0.003387720467072526,31:0.003387720467072526,32:0.003387720467072526,33:0.003387720467072526,34:0.003387720467072526,35:0.003387720467072526,
0:3.180058511915353E-4,1:3.180058511915353E-4,2:3.180058511915353E-4,3:3.180058511915353E-4,4:3.180058511915353E-4,5:3.180058511915353E-4,6:3.180058511915353E-4,7:3.180058511915353E-4,8:3.180058511915353E-4,9:3.180058511915353E-4,10:3.180058511915353E-4,11:3.180058511915353E-4,12:3.180058511915353E-4,13:3.180058511915353E-4,14:3.180058511915353E-4,15:3.180058511915353E-4,16:3.180058511915353E-4,17:3.180058511915353E-4,18:3.180058511915353E-4,19:3.180058511915353E-4,20:3.180058511915353E-4,21:0.009571612836974991,22:3.180058511915353E-4,23:3.180058511915353E-4,24:0.00393520651715006,25:0.33124448294692815,26:3.180058511915353E-4,27:3.180058511915353E-4,28:3.180058511915353E-4,29:0.6450725104608179,30:3.180058511915353E-4,31:3.180058511915353E-4,32:3.180058511915353E-4,33:3.180058511915353E-4,34:3.180058511915353E-4,35:3.180058511915353E-4,
0:0.0010967867583144908,1:6.0657506949672717E-5,2:6.0657506949672717E-5,3:6.28857418988444E-4,4:0.6427212584319548,5:6.0657506949672717E-5,6:6.0657506949672717E-5,7:6.0657506949672717E-5,8:6.0657506949672717E-5,9:6.0657506949672717E-5,10:6.0657506949672717E-5,11:6.0657506949672717E-5,12:0.001220249164171653,13:6.0657506949672717E-5,14:6.0657506949672717E-5,15:6.0657506949672717E-5,16:0.0035500576416555496,17:6.0657506949672717E-5,18:6.0657506949672717E-5,19:6.0657506949672717E-5,20:6.0657506949672717E-5,21:6.0657506949672717E-5,22:6.0657506949672717E-5,23:0.003314951761299172,24:6.0657506949672717E-5,25:6.0657506949672717E-5,26:0.00934662913700505,27:6.0657506949672717E-5,28:6.0657506949672717E-5,29:0.33642279949201875,30:6.0657506949672717E-5,31:6.0657506949672717E-5,32:6.0657506949672717E-5,33:6.0657506949672717E-5,34:6.0657506949672717E-5,35:6.0657506949672717E-5,
0:0.002789887443471486,1:0.002789887443471486,2:0.002789887443471486,3:0.002789887443471486,4:0.002789887443471486,5:0.002789887443471486,6:0.04958127724747369,7:0.002789887443471486,8:0.002789887443471486,9:0.002789887443471486,10:0.002789887443471486,11:0.002789887443471486,12:0.05960800363404556,13:0.002789887443471486,14:0.002789887443471486,15:0.002789887443471486,16:0.002789887443471486,17:0.3182970096436611,18:0.002789887443471486,19:0.002789887443471486,20:0.002789887443471486,21:0.002789887443471486,22:0.002789887443471486,23:0.36636312052257713,24:0.002789887443471486,25:0.002789887443471486,26:0.002789887443471486,27:0.002789887443471486,28:0.002789887443471486,29:0.002789887443471486,30:0.11966407820462568,31:0.002789887443471486,32:0.002789887443471486,33:0.002789887443471486,34:0.002789887443471486,35:0.002789887443471486,
0:0.027777777777777755,1:0.027777777777777755,2:0.027777777777777755,3:0.027777777777777755,4:0.027777777777777755,5:0.027777777777777755,6:0.027777777777777755,7:0.027777777777777755,8:0.027777777777777755,9:0.027777777777777755,10:0.027777777777777755,11:0.027777777777777755,12:0.027777777777777755,13:0.027777777777777755,14:0.027777777777777755,15:0.027777777777777755,16:0.027777777777777755,17:0.027777777777777755,18:0.027777777777777755,19:0.027777777777777755,20:0.027777777777777755,21:0.027777777777777755,22:0.027777777777777755,23:0.027777777777777755,24:0.027777777777777755,25:0.027777777777777755,26:0.027777777777777755,27:0.027777777777777755,28:0.027777777777777755,29:0.027777777777777755,30:0.027777777777777755,31:0.027777777777777755,32:0.027777777777777755,33:0.027777777777777755,34:0.027777777777777755,35:0.027777777777777755,
0:0.015514394915982539,1:0.015514394915982539,2:0.015514394915982539,3:0.015514394915982539,4:0.015514394915982539,5:0.015514394915982539,6:0.1608431146391661,7:0.015514394915982539,8:0.015514394915982539,9:0.015514394915982539,10:0.015514394915982539,11:0.015514394915982539,12:0.015514394915982539,13:0.015514394915982539,14:0.015514394915982539,15:0.13519686998213354,16:0.015514394915982539,17:0.015514394915982539,18:0.015514394915982539,19:0.015514394915982539,20:0.015514394915982539,21:0.015514394915982539,22:0.015514394915982539,23:0.015514394915982539,24:0.015514394915982539,25:0.015514394915982539,26:0.015514394915982539,27:0.015514394915982539,28:0.015514394915982539,29:0.015514394915982539,30:0.015514394915982539,31:0.015514394915982539,32:0.015514394915982539,33:0.1919849831512766,34:0.015514394915982539,35:0.015514394915982539,
0:0.00160828805564827,1:0.00160828805564827,2:0.00160828805564827,3:0.7803868228392009,4:0.041380969389050185,5:0.00160828805564827,6:0.00160828805564827,7:0.041380969389050185,8:0.00160828805564827,9:0.00160828805564827,10:0.00160828805564827,11:0.00160828805564827,12:0.00160828805564827,13:0.00160828805564827,14:0.00160828805564827,15:0.00160828805564827,16:0.00160828805564827,17:0.00160828805564827,18:0.00160828805564827,19:0.00160828805564827,20:0.00160828805564827,21:0.00160828805564827,22:0.00160828805564827,23:0.08538602060195406,24:0.00160828805564827,25:0.00160828805564827,26:0.00160828805564827,27:0.00160828805564827,28:0.00160828805564827,29:0.00160828805564827,30:0.00160828805564827,31:0.00160828805564827,32:0.00160828805564827,33:0.00160828805564827,34:0.00160828805564827,35:0.00160828805564827,
0:0.00866507218592634,1:0.00866507218592634,2:0.00866507218592634,3:0.12834754725207745,4:0.00866507218592634,5:0.00866507218592634,6:0.00866507218592634,7:0.00866507218592634,8:0.00866507218592634,9:0.00866507218592634,10:0.00866507218592634,11:0.1883958478908037,12:0.00866507218592634,13:0.00866507218592634,14:0.00866507218592634,15:0.00866507218592634,16:0.00866507218592634,17:0.00866507218592634,18:0.00866507218592634,19:0.00866507218592634,20:0.00866507218592634,21:0.00866507218592634,22:0.00866507218592634,23:0.00866507218592634,24:0.00866507218592634,25:0.00866507218592634,26:0.00866507218592634,27:0.00866507218592634,28:0.00866507218592634,29:0.00866507218592634,30:0.39730922272154995,31:0.00866507218592634,32:0.00866507218592634,33:0.00866507218592634,34:0.00866507218592634,35:0.00866507218592634,
0:0.014015081627792065,1:0.37963896297572797,2:0.01667368025039431,3:0.0016082880556482692,4:0.0016082880556482692,5:0.0016082880556482692,6:0.0016082880556482692,7:0.0016082880556482692,8:0.0016082880556482692,9:0.0016082880556482692,10:0.0016082880556482692,11:0.0016082880556482692,12:0.0016082880556482692,13:0.0016082880556482692,14:0.0016082880556482692,15:0.0016082880556482692,16:0.04990368681763625,17:0.019901978577839863,18:0.0016082880556482692,19:0.0016082880556482692,20:0.0016082880556482692,21:0.08967636815103812,22:0.03436226091844977,23:0.0016082880556482692,24:0.0016082880556482692,25:0.35079591512296904,26:0.0016082880556482692,27:0.0016082880556482692,28:0.0016082880556482692,29:0.0016082880556482692,30:0.0016082880556482692,31:0.0016082880556482692,32:0.0016082880556482692,33:0.0016082880556482692,34:0.0016082880556482692,35:0.0016082880556482692,
