Average	SD	Min	Max
7173.63349609375	291.20723042827103	7089.0	6988.93359375
9503.233203125	475.3528503251281	9140.4013671875	9023.0654296875
11263.52685546875	529.9008894930402	10670.333984375	10797.599609375
12571.66015625	786.8411877116289	12629.134765625	12232.19921875
13713.4537109375	669.1395904783145	12978.2666015625	14867.201171875
14367.6529296875	914.3943055607889	14312.798828125	14802.2646484375
15057.3064453125	1810.90192626792	13837.3974609375	15692.666015625
16341.69931640625	3477.603758210804	14805.0673828125	17183.130859375
17808.626171875	4567.967238766353	15042.1337890625	21822.267578125
20412.7732421875	6463.448866147093	15353.2001953125	25953.734375
22616.7873046875	8255.114805325411	15532.134765625	31789.267578125
24471.26572265625	9165.83177567688	16139.6025390625	34161.52734375
25670.886328125	9524.877316393051	16399.462890625	38087.53125
27009.7744140625	10146.383310857102	15486.0	38995.0703125
28510.6064453125	10409.283476179085	16875.06640625	42725.3359375
29431.0783203125	10930.86121922341	17437.80078125	42895.9296875
30017.3853515625	11181.465736699207	16716.33203125	43898.9296875
30727.7068359375	10953.973370395679	17245.734375	45061.93359375
31828.5599609375	10723.366518357434	17534.734375	45370.86328125
33399.8130859375	11072.063847726065	17102.734375	46152.93359375
34580.106640625	11478.28073757074	17295.13671875	47849.859375
35051.5388671875	11378.1201097566	17612.06640625	47426.2109375
35426.607421875	11511.222899452265	17772.6015625	48299.203125
35988.746875	11906.529133882726	17540.33203125	47356.12890625
36663.49296875	12216.403645553486	17611.93359375	49459.92578125
36434.587109375	12484.132994795209	17714.3359375	49484.87109375
37395.6076171875	12506.628609441572	18323.533203125	50804.14453125
37427.63984375	12460.124368645013	19045.19921875	50167.6640625
37880.08046875	12945.751898368024	18452.19921875	50628.5390625
38127.5404296875	13050.230325945002	18782.8671875	51169.12890625
38486.6935546875	13068.342071745074	18679.1328125	50570.93359375
38324.5994140625	13179.787935974275	19122.931640625	52314.53515625
38744.9470703125	13005.847146555192	19733.3359375	51230.46875
38763.799609375	13060.073232598012	19275.798828125	51555.4765625
39258.2154296875	12884.734909720879	20482.00390625	51517.87109375
39130.9884765625	13188.474437855744	19255.06640625	51372.265625
39515.0271484375	13119.588683511445	19252.6015625	52570.2109375
39424.978515625	13136.048961677096	19084.86328125	52286.796875
39358.23046875	13210.809178066002	19949.732421875	51601.265625
39305.71953125	12912.151979566326	19810.001953125	52406.80859375
39526.8921875	12751.479697345192	20164.265625	51722.1953125
39656.339453125	13016.268935648743	20430.998046875	51940.265625
39822.9861328125	12930.024593241782	19980.8671875	52284.859375
39580.0666015625	13384.25548344721	19547.931640625	52122.12890625
39684.719140625	13377.766684077882	19769.53125	52365.26953125
39383.0642578125	13438.779647016027	19082.064453125	51032.328125
39946.8267578125	13486.98326848568	20087.798828125	53274.46484375
39896.355078125	13191.523171289065	20147.001953125	51954.734375
39861.232421875	13251.789007796853	20060.40234375	52415.6015625
39967.9884765625	13307.397438092787	20617.8671875	52173.546875
