Average	SD	Min	Max
7134.88642578125	535.4573764346324	7842.5341796875	7166.39990234375
9106.87958984375	399.5730023117077	9265.2666015625	8225.2646484375
10893.81298828125	758.8867564177639	10953.732421875	9479.8662109375
11930.480859375	435.8041589482857	12003.1337890625	11475.6015625
12912.6603515625	652.9268850813991	12761.599609375	12120.7998046875
13583.3931640625	575.7483484481643	13479.068359375	13469.333984375
14475.867578125	672.0421084857096	14142.267578125	14311.9326171875
15152.00546875	1095.2449866837746	13979.7998046875	16088.9990234375
16520.95322265625	2682.1702910541803	14095.8671875	20153.931640625
18664.78623046875	5492.718606062471	15607.33203125	27381.466796875
20383.2337890625	7182.912149443725	15051.93359375	32890.0
23232.80634765625	8670.213099707124	16101.5986328125	36241.80078125
24697.1818359375	10142.33213913796	15518.06640625	35967.3359375
26877.941015625	9987.134112378306	15533.599609375	38618.13671875
29604.13193359375	9110.698024800264	15943.5361328125	39424.328125
32807.794140625	8770.310067376628	16723.46875	41006.46875
34030.1396484375	9341.069805183202	16897.201171875	41132.40625
35183.9076171875	9206.363471187118	16847.93359375	41737.0
36834.1748046875	8383.93988525626	17186.466796875	42198.13671875
38415.8396484375	8185.760762751052	18296.73046875	43615.0703125
38479.3861328125	8292.575181149597	18170.798828125	41661.73828125
40321.4548828125	8867.44609645153	18446.802734375	47005.87109375
40468.4150390625	9554.36298964216	17956.53125	46638.609375
41639.266796875	10190.03319640289	18392.734375	49029.46484375
42297.64375	10468.39533093918	18809.203125	49972.59375
42697.2595703125	11003.205675955067	17791.931640625	51777.59375
43046.9359375	11030.243096796721	18413.66796875	53632.40625
43858.341015625	10805.425030341048	19320.3359375	54529.265625
43868.2212890625	11072.638363873628	18441.599609375	53368.26953125
44503.2779296875	11468.418821167434	18777.533203125	54395.4609375
44680.3787109375	11550.81116013662	18992.533203125	55661.78515625
45401.951953125	12194.090097628949	18088.66796875	58151.93359375
45681.8982421875	11770.238825554332	19687.732421875	57475.859375
46232.77890625	12487.64536210509	20015.80078125	59527.6640625
46109.621875	12429.593183272438	18424.93359375	60752.99609375
46297.4265625	12274.578616327344	19003.87109375	60108.01171875
47026.8939453125	12223.11083913106	19895.201171875	62176.26953125
47453.3673828125	12633.653952342167	19436.064453125	65063.12890625
48028.534765625	12744.016809197577	19196.33203125	65518.53515625
48008.6994140625	12660.759495435428	19283.130859375	65531.8046875
48260.1220703125	12366.25213742838	20617.068359375	66110.9375
48399.4439453125	12600.211265766491	19453.138671875	65781.4765625
48559.4287109375	13139.75549882756	19373.998046875	68832.7421875
49277.0478515625	13279.96302474635	18808.396484375	69297.203125
48962.772265625	13214.970682992991	18648.0	68613.65625
49074.320703125	12862.100832759139	19577.6015625	67045.0625
49086.9734375	13035.65875065143	19563.33203125	67787.390625
49235.5833984375	12977.23186635404	20066.533203125	68652.3984375
49155.5283203125	13403.640893523016	18880.931640625	69716.46875
49481.795703125	13150.881740060362	19896.8671875	70652.796875
